id	Col
1	40,65
2	17,1
3	34,45
4	31,51
5	29,43
6	25,9
7	14,27
8	5,29
9	41,59
10	46,59
11	57,43
12	15,33
13	67,59
14	56,67
15	54,47
16	53,50
17	21,23
18	41,65
19	31,13
20	65,47
21	48,59
22	68,45
23	62,67
24	20,7
25	28,9
26	61,67
27	53,69
28	29,27
29	27,6
30	42,37
31	29,9
32	10,7
33	25,57
34	59,48
35	27,11
36	36,61
37	39,51
38	43,67
39	31,53
40	19,0
41	31,15
42	29,24
43	13,23
44	55,39
45	49,69
46	20,27
47	24,5
48	53,67
49	54,55
50	1,7
51	67,55
52	23,17
53	35,64
54	20,17
55	20,61
56	13,1
57	59,58
58	17,65
59	27,0
60	53,58
61	11,23
62	55,47
63	70,63
64	65,59
65	8,15
66	32,39
67	35,60
68	67,51
69	0,27
70	22,23
71	6,25
72	13,9
73	26,57
74	23,23
75	41,54
76	25,61
77	13,24
78	21,19
79	67,61
80	66,65
81	57,45
82	33,52
83	23,58
84	65,68
85	37,47
86	21,9
87	42,53
88	6,7
89	11,7
90	13,18
91	7,13
92	33,39
93	30,27
94	19,2
95	29,25
96	57,69
97	55,63
98	7,8
99	49,54
100	21,66
101	27,26
102	57,51
103	15,9
104	36,49
105	53,40
106	11,9
107	69,69
108	10,31
109	66,53
110	33,53
111	27,17
112	21,7
113	17,13
114	63,67
115	16,7
116	10,9
117	55,50
118	25,10
119	56,61
120	18,21
121	58,51
122	60,53
123	10,21
124	20,31
125	23,13
126	31,5
127	37,51
128	66,45
129	1,20
130	63,61
131	5,6
132	17,19
133	52,63
134	19,18
135	57,46
136	21,13
137	27,58
138	40,59
139	32,43
140	12,5
141	15,15
142	29,16
143	68,69
144	53,51
145	24,29
146	23,64
147	23,19
148	19,3
149	61,37
150	17,21
151	15,7
152	39,63
153	46,63
154	48,41
155	39,54
156	37,39
157	27,24
158	60,65
159	39,38
160	39,47
161	25,3
162	35,58
163	20,5
164	49,55
165	32,53
166	31,24
167	60,67
168	2,13
169	27,12
170	51,58
171	33,63
172	57,44
173	61,60
174	3,30
175	1,2
176	11,21
177	14,9
178	11,1
179	33,58
180	57,68
181	21,11
182	1,5
183	67,48
184	63,62
185	19,10
186	57,56
187	12,17
188	69,66
189	21,64
190	23,12
191	22,9
192	33,67
193	15,18
194	29,42
195	1,9
196	49,61
197	57,47
198	11,20
199	18,9
200	67,47
201	31,40
202	14,25
203	2,19
204	25,21
205	68,61
206	35,51
207	27,65
208	43,59
209	55,36
210	10,17
211	29,22
212	23,2
213	50,43
214	61,33
215	27,31
216	16,29
217	10,15
218	59,37
219	16,57
220	29,12
221	16,15
222	53,65
223	17,24
224	23,6
225	19,15
226	16,11
227	44,69
228	37,43
229	33,10
230	44,51
231	57,35
232	58,55
233	43,45
234	47,69
235	35,61
236	63,59
237	7,24
238	29,63
239	44,53
240	2,1
241	43,50
242	51,30
243	34,55
244	9,11
245	18,23
246	9,3
247	39,49
248	27,61
249	51,63
250	60,41
251	3,8
252	54,61
253	45,57
254	49,50
255	35,47
256	38,57
257	60,55
258	37,38
259	36,57
260	25,23
261	38,67
262	17,3
263	69,47
264	61,41
265	15,13
266	22,1
267	39,31
268	55,70
269	19,17
270	27,23
271	17,8
272	9,13
273	32,57
274	41,43
275	42,1
276	8,31
277	41,46
278	37,9
279	19,7
280	2,23
281	11,17
282	41,45
283	41,58
284	5,1
285	25,13
286	18,63
287	35,37
288	19,24
289	33,65
290	5,9
291	31,61
292	13,20
293	32,21
294	66,49
295	28,29
296	18,29
297	3,17
298	15,0
299	31,47
300	17,7
301	38,61
302	31,1
303	27,29
304	59,47
305	45,54
306	17,26
307	39,48
308	56,49
309	63,49
310	21,29
311	27,57
312	5,21
313	12,33
314	57,65
315	29,61
316	9,9
317	57,66
318	24,25
319	52,55
320	59,55
321	55,60
322	25,2
323	1,1
324	17,57
325	11,5
326	51,45
327	65,45
328	25,5
329	17,23
330	47,57
331	41,62
332	47,53
333	1,8
334	16,21
335	59,61
336	45,59
337	58,43
338	49,37
339	59,40
340	63,57
341	35,65
342	5,18
343	5,19
344	9,20
345	57,34
346	63,70
347	23,57
348	58,47
349	7,19
350	22,27
351	67,70
352	51,46
353	4,17
354	58,37
355	67,63
356	14,5
357	53,57
358	9,7
359	69,58
360	15,25
361	14,3
362	63,58
363	67,53
364	38,65
365	37,49
366	55,61
367	59,67
368	3,29
369	57,49
370	55,67
371	25,60
372	33,41
373	14,63
374	55,43
375	65,63
376	27,4
377	29,47
378	10,11
379	41,48
380	30,11
381	11,24
382	25,26
383	61,55
384	61,52
385	27,5
386	59,51
387	41,44
388	53,53
389	37,35
390	65,52
391	39,62
392	51,68
393	45,56
394	12,3
395	40,63
396	13,19
397	57,42
398	12,1
399	8,23
400	33,50
401	19,6
402	51,69
403	18,5
404	8,27
405	20,13
406	11,65
407	13,11
408	36,39
409	2,27
410	60,69
411	17,11
412	53,55
413	69,49
414	55,52
415	27,14
416	13,27
417	1,11
418	32,3
419	59,62
420	49,56
421	10,13
422	9,5
423	65,57
424	3,11
425	9,4
426	29,40
427	23,9
428	19,57
429	63,38
430	65,60
431	9,1
432	5,25
433	23,4
434	19,1
435	59,53
436	15,14
437	39,50
438	69,67
439	33,62
440	23,11
441	7,22
442	53,61
443	15,1
444	18,3
445	5,17
446	9,27
447	37,63
448	24,33
449	40,43
450	39,67
451	57,59
452	20,9
453	12,11
454	18,13
455	68,55
456	33,57
457	51,41
458	68,51
459	1,13
460	45,49
461	7,25
462	23,7
463	2,11
464	61,39
465	65,69
466	32,15
467	31,57
468	53,49
469	34,65
470	3,7
471	21,5
472	3,1
473	15,16
474	9,25
475	41,33
476	59,65
477	21,1
478	17,5
479	67,67
480	59,45
481	44,59
482	14,13
483	52,65
484	25,8
485	61,63
486	1,15
487	51,59
488	57,67
489	15,28
490	39,39
491	13,15
492	67,64
493	69,63
494	45,55
495	55,64
496	65,43
497	5,7
498	59,41
499	31,44
500	3,25
501	69,56
502	11,3
503	23,35
504	47,63
505	55,65
506	21,30
507	3,27
508	53,41
509	12,27
510	29,36
511	7,23
512	7,4
513	65,53
514	8,9
515	19,11
516	32,47
517	43,53
518	60,63
519	35,49
520	24,11
521	41,56
522	42,41
523	27,55
524	24,15
525	46,53
526	33,47
527	57,40
528	37,40
529	30,63
530	26,3
531	63,51
532	37,48
533	61,69
534	62,49
535	67,49
536	23,3
537	69,53
538	32,61
539	25,55
540	11,22
541	51,67
542	25,25
543	22,25
544	35,43
545	7,9
546	60,49
547	3,3
548	55,53
549	30,57
550	37,61
551	5,14
552	33,42
553	69,50
554	3,5
555	33,49
556	33,43
557	7,27
558	7,11
559	65,50
560	67,57
561	58,65
562	7,26
563	63,65
564	31,11
565	53,42
566	67,69
567	53,37
568	1,3
569	67,60
570	67,68
571	6,3
572	13,10
573	61,68
574	15,8
575	29,41
576	2,5
577	29,14
578	21,14
579	16,5
580	35,44
581	47,66
582	17,29
583	35,41
584	43,47
585	59,43
586	4,27
587	49,38
588	27,7
589	19,9
590	23,29
591	49,60
592	19,20
593	15,5
594	1,31
595	60,45
596	57,53
597	22,31
598	5,12
599	5,5
600	4,25
601	5,20
602	68,47
603	38,51
604	43,61
605	36,63
606	69,59
607	27,49
608	21,12
609	12,7
610	37,41
611	19,5
612	7,16
613	8,13
614	50,69
615	3,19
616	9,21
617	4,21
618	61,47
619	65,58
620	59,63
621	59,69
622	39,41
623	22,15
624	15,19
625	57,32
626	5,11
627	17,12
628	6,1
629	65,48
630	16,1
631	66,57
632	7,7
633	37,37
634	64,43
635	63,69
636	7,5
637	27,9
638	61,57
639	40,41
640	27,54
641	14,19
642	21,27
643	19,13
644	1,10
645	64,47
646	13,6
647	65,66
648	27,10
649	25,32
650	9,31
651	24,9
652	15,27
653	55,51
654	25,54
655	2,3
656	41,49
657	43,58
658	1,17
