,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-03-28,9.8,11.26,9.62,11.24,11.24,23929600
1,2018-03-29,11.5,11.8,10.65,11.0,11.0,5863900
2,2018-04-02,11.05,11.5,10.91,11.0,11.0,2771000
3,2018-04-03,11.5,11.5,10.791,10.91,10.91,2509600
4,2018-04-04,10.75,11.08,10.55,10.97,10.97,1498200
5,2018-04-05,11.0,11.049,10.75,10.98,10.98,893300
6,2018-04-06,10.95,11.03,10.85,10.94,10.94,684700
7,2018-04-09,11.0,11.69,10.96,11.1,11.1,2648400
8,2018-04-10,11.45,11.59,11.25,11.5,11.5,2198200
9,2018-04-11,11.58,11.59,11.03,11.48,11.48,1497800
10,2018-04-12,11.53,11.76,11.35,11.62,11.62,2075200
11,2018-04-13,11.6,11.69,11.32,11.4,11.4,803800
12,2018-04-16,11.41,11.5,11.33,11.33,11.33,562000
13,2018-04-17,11.35,11.4,11.16,11.32,11.32,635100
14,2018-04-18,11.44,11.5,11.29,11.35,11.35,582400
15,2018-04-19,11.4,11.49,11.28,11.35,11.35,433000
16,2018-04-20,11.25,11.31,11.06,11.19,11.19,625700
17,2018-04-23,11.29,11.46,11.051,11.19,11.19,867800
18,2018-04-24,11.25,11.52,11.21,11.29,11.29,1223300
19,2018-04-25,11.19,11.29,10.82,10.9,10.9,1530200
20,2018-04-26,11.06,11.19,10.85,11.0,11.0,343100
21,2018-04-27,11.0,11.1,10.61,10.61,10.61,495000
22,2018-04-30,10.7,11.08,10.1,10.92,10.92,1090900
23,2018-05-01,10.84,11.04,10.41,10.58,10.58,581000
24,2018-05-02,10.52,10.636,10.21,10.26,10.26,558700
25,2018-05-03,10.19,10.459,10.0,10.08,10.08,844000
26,2018-05-04,10.18,10.28,9.86,9.99,9.99,954500
27,2018-05-07,10.01,10.14,9.86,10.0,10.0,877800
28,2018-05-08,10.05,10.49,9.95,10.27,10.27,733800
29,2018-05-09,10.41,10.73,10.28,10.65,10.65,1043500
30,2018-05-10,10.73,11.679,10.51,11.0,11.0,1653000
31,2018-05-11,11.06,12.19,11.06,11.46,11.46,3152500
32,2018-05-14,11.55,12.2,11.5,12.07,12.07,1946800
33,2018-05-15,12.07,12.42,11.52,12.16,12.16,1529300
34,2018-05-16,12.24,14.35,12.16,14.11,14.11,3113400
35,2018-05-17,13.83,14.87,13.03,13.55,13.55,4410200
36,2018-05-18,13.5,13.5,12.8,12.84,12.84,2469000
37,2018-05-21,12.94,13.18,12.67,12.75,12.75,3480100
38,2018-05-22,13.0,13.26,12.61,13.14,13.14,2364300
39,2018-05-23,13.07,13.38,12.3,12.44,12.44,6222900
40,2018-05-24,14.35,15.49,13.45,13.85,13.85,16603700
41,2018-05-25,13.86,14.44,13.85,14.24,14.24,3624500
42,2018-05-29,14.3,15.189,14.22,15.03,15.03,4145300
43,2018-05-30,15.2,16.884001,15.19,16.67,16.67,6639700
44,2018-05-31,17.129998999999998,17.709999,15.0,16.23,16.23,10142000
45,2018-06-01,16.51,17.200001,15.87,16.91,16.91,4287600
46,2018-06-04,17.4,18.155001000000002,16.25,16.43,16.43,5657600
47,2018-06-05,16.48,16.74,15.6,16.709999,16.709999,4193100
48,2018-06-06,16.940001000000002,16.959999,16.141001,16.57,16.57,2725700
49,2018-06-07,16.559998999999998,16.790001,16.049999,16.219998999999998,16.219998999999998,1983600
50,2018-06-08,16.1,19.35,15.85,18.950001,18.950001,10538300
51,2018-06-11,19.01,19.35,17.360001,18.42,18.42,11994900
52,2018-06-12,18.620001000000002,19.1,17.6,18.66,18.66,7313900
