Date	Day	Daily_Avg	Daily_Max	Daily_Min
05/03/2023	3	187.17	189.05	185.94
05/04/2023	4	187.11	188.94	186.05
05/05/2023	5	186.89	188.34	184.15
05/06/2023	6	185.26	188.54	183.53
05/07/2023	7	185.88	186.64	184.94
05/08/2023	1	186.04	188.34	183.84
5/13/2023	6	186.24	187.35	185.74
5/14/2023	7	187.01	188.04	186.14
5/15/2023	1	184.24	185.03	183.44
5/16/2023	2	183.21	185.14	181.04
5/17/2023	3	182.45	183.84	180.84
5/18/2023	4	182.21	184.55	180.13
5/19/2023	5	181.83	185.03	179.43
5/20/2023	6	179.98	182.14	178.23
5/21/2023	7	179.65	180.73	177.84
5/22/2023	1	179.76	183.33	177.84
5/23/2023	2	178.6	179.85	177.04
5/24/2023	3	178.09	180.13	176.73
5/25/2023	4	176.92	179.54	176.03
5/26/2023	5	177.96	179.74	176.14
5/28/2023	7	177.69	179.03	176.23
5/29/2023	1	176.53	178.43	175.03
5/30/2023	2	176.46	178.23	174.13
5/31/2023	3	176	177.13	175.03
06/01/2023	4	174.24	175.83	172.43
06/02/2023	5	174.59	178.32	172.52
06/03/2023	6	173.37	175.32	171.72
06/04/2023	7	172.86	175.03	170.82
06/05/2023	1	173.58	174.83	172.43
06/06/2023	2	171.72	173.42	169.82
06/07/2023	3	173	178.43	170.02
06/08/2023	4	171.87	179.03	170.02
06/09/2023	5	171.54	173.33	168.92
06/10/2023	6	172.66	174.72	170.42
06/11/2023	7	171.05	172.94	168.72
06/12/2023	1	171.25	174.72	167.81
6/14/2023	3	173.82	175.52	172.72
6/15/2023	4	174.15	176.23	173.02
6/16/2023	5	172.12	173.13	170.33
6/19/2023	1	170.28	172.03	169.32
6/20/2023	2	169.52	171.13	168.12
6/21/2023	3	168.11	169.71	166.42
6/22/2023	4	168.55	170.42	165.92
6/23/2023	5	168.27	169.43	166.62
6/24/2023	6	168.27	171.21	166.03
6/25/2023	7	167.46	170.73	164.92
6/26/2023	1	167.98	169.03	166.03
6/27/2023	2	167.48	169.03	165.92
6/28/2023	3	167.22	168.92	165.81
6/29/2023	4	167.85	169.43	166.23
6/30/2023	5	168.44	170.02	165.92
07/01/2023	6	166.78	169.32	163.51
07/02/2023	7	166.63	170.62	164.11
07/03/2023	1	168.83	170.73	166.42
07/04/2023	2	168.66	172.43	165.92
07/05/2023	3	170.64	171.72	169.12
07/06/2023	4	170.5	171.52	168.52
07/07/2023	5	170.4	171.72	168.52
07/08/2023	6	167.59	169.71	165.01
07/09/2023	7	167.43	170.02	164.72
07/10/2023	1	169.98	172.03	167.02
07/11/2023	2	171.07	172.03	169.12
07/12/2023	3	170.53	171.21	169.12
7/13/2023	4	170.21	171.32	168.41
7/14/2023	5	169.09	170.42	167.22
7/15/2023	6	166.36	171.52	163.11
7/16/2023	7	166.79	170.33	164.11
7/17/2023	1	167.35	168.63	165.81
7/18/2023	2	168.02	172.03	165.21
7/19/2023	3	168.1	169.12	166.42
7/20/2023	4	168.14	169.51	166.23
7/21/2023	5	167.83	169.71	166.11
7/22/2023	6	165.19	168.92	161.41
7/23/2023	7	164.27	167.53	161.21
7/24/2023	1	166.31	167.73	164.22
7/25/2023	2	167.43	169.51	164.81
7/26/2023	3	167.94	169.71	164.92
7/27/2023	4	168.1	169.43	166.62
7/28/2023	5	167.06	169.62	163.11
7/29/2023	6	164.22	167.22	160.42
7/30/2023	7	165.67	168.63	161.92
7/31/2023	1	168.22	169.43	166.31
08/01/2023	2	167.95	169.51	163.31
08/02/2023	3	167.13	169.03	164.61
08/03/2023	4	168.35	170.13	166.82
08/04/2023	5	169.26	169.62	168.72
08/05/2023	6	163.99	169.82	159.32
08/06/2023	7	161.93	165.01	157.81
08/07/2023	1	163.11	164.11	162.12
08/08/2023	2	162.45	162.72	162.32
08/09/2023	3	164.48	167.02	160
08/10/2023	4	164.01	166.42	162.6
08/11/2023	5	164.12	164.22	164.02
08/12/2023	6	163.35	164.22	160.91
8/13/2023	7	161.23	163.91	157.62
8/14/2023	1	163.07	165.72	159.91
8/15/2023	2	164.75	166.23	162.72
8/16/2023	3	163.64	165.81	160.42
8/17/2023	4	164.56	165.92	162.91
